"VideoID	DownloadableLink"
"0338-YOUTUBE	https://www.youtube.com/watch?v=44cdrImU26U"
"0339-YOUTUBE	https://www.youtube.com/watch?v=phnF0C3_tek"
"0341-YOUTUBE	https://www.youtube.com/watch?v=8lODTGjjxF0"
"0342-YOUTUBE	https://www.youtube.com/watch?v=YOxSmppzVPQ"
"0344-YOUTUBE	https://www.youtube.com/watch?v=vzCGx6Q4ajI"
"0346-YOUTUBE	https://www.youtube.com/watch?v=l1NJKstPkEQ"
"0348-YOUTUBE	https://www.youtube.com/watch?v=yosIMJJOcF8"
"0350-YOUTUBE	https://www.youtube.com/watch?v=fUF6VwXoQjM"
"0351-YOUTUBE	https://www.youtube.com/watch?v=HPDaMvf41j0"
"0353-YOUTUBE	https://www.youtube.com/watch?v=nKQLWNUYu9w"
"0355-YOUTUBE	https://www.youtube.com/watch?v=7mgN6GiDrt8"
"0357-YOUTUBE	https://www.youtube.com/watch?v=v6hmt6gL1fo"
"0359-YOUTUBE	https://www.youtube.com/watch?v=33jK01B_pPI"
"0363-YOUTUBE	https://www.youtube.com/watch?v=Wm2CKDrw4Uo"
"0368-YOUTUBE	https://www.youtube.com/watch?v=3_kA33Z9IY4"
"0372-YOUTUBE	https://www.youtube.com/watch?v=OrvEJeQx8uE"
"0373-YOUTUBE	https://www.youtube.com/watch?v=-Vq9Rwy0Fls"
"0376-YOUTUBE	https://www.youtube.com/watch?v=Rv8g_wT8dXY"
"0378-YOUTUBE	https://www.youtube.com/watch?v=yYjDngUiSaw"
"0379-YOUTUBE	https://www.youtube.com/watch?v=s17_ugXDydw"
"0381-YOUTUBE	https://www.youtube.com/watch?v=Vzb8J3pFANQ"
"0383-YOUTUBE	https://www.youtube.com/watch?v=wDmSiHiEYWI"
"0384-YOUTUBE	https://www.youtube.com/watch?v=BREEHsS8Rmw"
"0385-YOUTUBE	https://www.youtube.com/watch?v=4JUxwcU1OJc"
"0386-YOUTUBE	https://www.youtube.com/watch?v=8cyPotsGOq8"
"0387-YOUTUBE	https://www.youtube.com/watch?v=tdZW57PK3jU"
"0388-YOUTUBE	https://www.youtube.com/watch?v=L49EWuiJ16k"
"0389-YOUTUBE	https://www.youtube.com/watch?v=z09GR_-cBw0"
"0391-YOUTUBE	https://www.youtube.com/watch?v=FF7oz8C6Mz8"
"0393-YOUTUBE	https://www.youtube.com/watch?v=VAe_WClOEp0"
"0394-YOUTUBE	https://www.youtube.com/watch?v=W3DFcqSBJaU"
"0395-YOUTUBE	https://www.youtube.com/watch?v=2Sn-1NqoOA4"
"0396-YOUTUBE	https://www.youtube.com/watch?v=OSSQ3i0eFQI"
"0397-YOUTUBE	https://www.youtube.com/watch?v=iQh7RL4sVeY"
"0398-YOUTUBE	https://www.youtube.com/watch?v=rBxxU8gT7nY"
"0399-YOUTUBE	https://www.youtube.com/watch?v=loaEj_PawpQ"
"0400-YOUTUBE	https://www.youtube.com/watch?v=aXYkJD9TWN0"
"0401-YOUTUBE	https://www.youtube.com/watch?v=2H7daCTHhME"
"0402-YOUTUBE	https://www.youtube.com/watch?v=KH6k_ogxnJU"
"0403-YOUTUBE	https://www.youtube.com/watch?v=1_V7oqT9kqU"
"0404-YOUTUBE	https://www.youtube.com/watch?v=QodwgFJlp7U"
"0405-YOUTUBE	https://www.youtube.com/watch?v=Eb3qjXANCT4"
"0406-YOUTUBE	https://www.youtube.com/watch?v=UdGg8nURevA"
"0407-YOUTUBE	https://www.youtube.com/watch?v=k7KMJkJeu9g"
"0408-YOUTUBE	https://www.youtube.com/watch?v=_ZoYVzyKefA"
"0409-YOUTUBE	https://www.youtube.com/watch?v=GQmRwy_dcVA"
"0410-YOUTUBE	https://www.youtube.com/watch?v=ZgjJANLdut0"
"0411-YOUTUBE	https://www.youtube.com/watch?v=94tvxNo-60U"
"0412-YOUTUBE	https://www.youtube.com/watch?v=3m3ANVjJRrg"
"0413-YOUTUBE	https://www.youtube.com/watch?v=a13QsKbwn9w"
"0414-YOUTUBE	https://www.youtube.com/watch?v=O3Kd_G6fgyQ"
"0415-YOUTUBE	https://www.youtube.com/watch?v=KMNz_2K0H1c"
"0416-YOUTUBE	https://www.youtube.com/watch?v=TsY8U4exqOE"
"0417-YOUTUBE	https://www.youtube.com/watch?v=OVrqkyNZRFE"
"0418-YOUTUBE	https://www.youtube.com/watch?v=Xo9npwHIzko"
"0419-YOUTUBE	https://www.youtube.com/watch?v=fQK51KDUOb4"
"0420-YOUTUBE	https://www.youtube.com/watch?v=CTMhg7p6j_k"
"0421-YOUTUBE	https://www.youtube.com/watch?v=Y7z-3V5jsRU"
"0422-YOUTUBE	https://www.youtube.com/watch?v=uYVRVjzhcx4"
"0423-YOUTUBE	https://www.youtube.com/watch?v=NQQogk4NZxw"
"0424-YOUTUBE	https://www.youtube.com/watch?v=Iefel7SF-EA"
"0425-YOUTUBE	https://www.youtube.com/watch?v=cgIoc0BQO2o"
"0426-YOUTUBE	https://www.youtube.com/watch?v=__xAS1BC9fg"
"0427-YOUTUBE	https://www.youtube.com/watch?v=drmZAYCTiB0"
"0428-YOUTUBE	https://www.youtube.com/watch?v=lgcFqrelMyk"
"0429-YOUTUBE	https://www.youtube.com/watch?v=q0vTy1cnXsg"
"0430-YOUTUBE	https://www.youtube.com/watch?v=Mkt-D6Fx0WE"
"0432-YOUTUBE	https://www.youtube.com/watch?v=LQ1JUBLjZSk"
"0433-YOUTUBE	https://www.youtube.com/watch?v=uhHrJFObHvA"
"0434-YOUTUBE	https://www.youtube.com/watch?v=UwF3hvOQwnA"
"0435-YOUTUBE	https://www.youtube.com/watch?v=q7Hg5PQUBOc"
"0436-YOUTUBE	https://www.youtube.com/watch?v=7PzZ5QA4LCo"
"0438-YOUTUBE	https://www.youtube.com/watch?v=w35EhjJe64g"
"0439-YOUTUBE	https://www.youtube.com/watch?v=yJkG5QxImCA"
"0440-YOUTUBE	https://www.youtube.com/watch?v=rBh5a_R1-wU"
"0441-YOUTUBE	https://www.youtube.com/watch?v=H23RgWi1df8"
"0442-YOUTUBE	https://www.youtube.com/watch?v=FIKvGCDXt-c"
"0443-YOUTUBE	https://www.youtube.com/watch?v=0u6iJkte3fM"
"0444-YOUTUBE	https://www.youtube.com/watch?v=CEoEExRidUM"
"0445-YOUTUBE	https://www.youtube.com/watch?v=C3G6aPAr9w4"
"0446-YOUTUBE	https://www.youtube.com/watch?v=2MJE9CtGCe4"
"0447-YOUTUBE	https://www.youtube.com/watch?v=Qw_QH3DqY0o"
"0448-YOUTUBE	https://www.youtube.com/watch?v=p2mYIBiQVCM"
"0449-YOUTUBE	https://www.youtube.com/watch?v=x1MG73yCP80"
"0450-YOUTUBE	https://www.youtube.com/watch?v=G2FCcNiKBH8"
"0451-YOUTUBE	https://www.youtube.com/watch?v=ThW8KW3OMZU"
"0452-YOUTUBE	https://www.youtube.com/watch?v=3jLveAmX4-I"
"0453-YOUTUBE	https://www.youtube.com/watch?v=cVElWTCCK0E"
"0454-YOUTUBE	https://www.youtube.com/watch?v=MMmt5B-Y7iA"
"0455-YOUTUBE	https://www.youtube.com/watch?v=lpR3c-UmX78"
"0456-YOUTUBE	https://www.youtube.com/watch?v=FqPnCAOFsBE"
"0457-YOUTUBE	https://www.youtube.com/watch?v=NeEvXzIq7nY"
"0458-YOUTUBE	https://www.youtube.com/watch?v=W3dnPp1E5rs"
"0459-YOUTUBE	https://www.youtube.com/watch?v=TJoUEeZp9Ww"
"0460-YOUTUBE	https://www.youtube.com/watch?v=JArEn7B4Y6s"
"0461-YOUTUBE	https://www.youtube.com/watch?v=RDn-v0Fgb6g"
"0462-YOUTUBE	https://www.youtube.com/watch?v=I7BhByY0nZA"
"0463-YOUTUBE	https://www.youtube.com/watch?v=ygREG0sYC7k"
"0464-YOUTUBE	https://www.youtube.com/watch?v=TN_UoFtoQYU"
"0465-YOUTUBE	https://www.youtube.com/watch?v=sZfLBXmzRaE"
"0466-YOUTUBE	https://www.youtube.com/watch?v=tLYaCpkaHl0"
"0467-YOUTUBE	https://www.youtube.com/watch?v=bL3s3UKNv9U"
"0468-YOUTUBE	https://www.youtube.com/watch?v=9_CzclD5Dnc"
"0469-YOUTUBE	https://www.youtube.com/watch?v=UNZzvLYv_O0"
"0471-YOUTUBE	https://www.youtube.com/watch?v=T1Vw-_n-hFI"
"0472-YOUTUBE	https://www.youtube.com/watch?v=jozM15_nN2s"
"0473-YOUTUBE	https://www.youtube.com/watch?v=SvybzElLRtk"
"0475-YOUTUBE	https://www.youtube.com/watch?v=Xq2fIEixvtU"
"0476-YOUTUBE	https://www.youtube.com/watch?v=ETRL9GWyGOw"
"0477-YOUTUBE	https://www.youtube.com/watch?v=pdSvX_DM2GE"
"0478-YOUTUBE	https://www.youtube.com/watch?v=-HgXJLBlSug"
"0479-YOUTUBE	https://www.youtube.com/watch?v=7BVkpn3vuI0"
