"ProductSKU";"Brand";"LinkFROriginal";"VideoID-FR";"LinkENOriginal";"VideoID-EN"
"MIL2115-21";"MILWAUKEE";"";;"https://assets.edgenet.com/d59d704c-b162-4e96-9b85-48c7232cca30";"0014-EDGENET"
"MIL2116-21";"MILWAUKEE";"";;"https://www.youtube.com/watch?v=t4JNH9eTjUI";"0016-YOUTUBE"
"MIL2117-21";"MILWAUKEE";"";;"https://assets.edgenet.com/9a6cf600-032c-4dea-a574-dc224f564de0";"0017-EDGENET"
"MIL2118-21";"MILWAUKEE";"";;"https://assets.edgenet.com/9a6cf600-032c-4dea-a574-dc224f564de0";"0017-EDGENET"
"MIL2122-20";"MILWAUKEE";"https://milwaukeetool.widen.net/s/fwhtdrcxft/milwaukeer_m18trade-mark-";"0018-WIDENNET";"https://www.youtube.com/watch?v=KvhkTwwB2Zk";"0002-YOUTUBE"
"MIL2123-20";"MILWAUKEE";"";;"https://assets.edgenet.com/9a6cf600-032c-4dea-a574-dc224f564de0";"0017-EDGENET"
"MIL2123-21HD";"MILWAUKEE";"";;"https://assets.edgenet.com/9a6cf600-032c-4dea-a574-dc224f564de0";"0017-EDGENET"
"MIL2125-20";"MILWAUKEE";"https://assets.edgenet.com//de9e5b6f-f4e2-472f-b8eb-ac85a2e33b08";"0019-EDGENET";"https://www.youtube.com/watch?v=8DFlljLCM4o";"0020-YOUTUBE"
"MIL2126-20";"MILWAUKEE";"";;"https://assets.edgenet.com/9a6cf600-032c-4dea-a574-dc224f564de0";"0017-EDGENET"
"MIL2126-21XC";"MILWAUKEE";"";;"https://www.youtube.com/watch?v=8DFlljLCM4o";"0020-YOUTUBE"
"MIL2127-20";"MILWAUKEE";"";;"https://assets.edgenet.com/fbe686fc-7347-4315-ba1f-ba2f97565909";"0021-EDGENET"
"MIL2128-21";"MILWAUKEE";"";;"https://assets.edgenet.com/fbe686fc-7347-4315-ba1f-ba2f97565909";"0021-EDGENET"
"MIL2128-22";"MILWAUKEE";"";;"https://assets.edgenet.com/de9e5b6f-f4e2-472f-b8eb-ac85a2e33b08";"0022-EDGENET"
"MIL2131-20";"MILWAUKEE";"https://milwaukeetool.widen.net/s/w2l7zpqct2/milwaukeer-jobsite-lighti";"0023-WIDENNET";"https://www.youtube.com/watch?v=KvhkTwwB2Zk";"0002-YOUTUBE"
